Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
RNF43,17.068362963977215,33.0,8.0,0.9181225424693916,0.0,0.0,0.0,0.0
MC1R,16.97022495897483,33.0,8.0,0.5896937867796934,6.25512625,8.60480586419753,0.0,0.0
NRG4,16.803223710177804,33.0,8.0,-0.0932370107686951,2.6485339,1.25562438266857,0.0,0.0
PIGF,16.74822834237132,34.0,5.0,0.7289347472307104,0.0,0.0,0.0,0.0
LTK,16.717810836721668,31.0,8.0,-0.1982903358188973,3.2196199375,2.00238849192783,0.0,0.0
NPIPA1,16.502012649804247,32.0,5.0,0.1707010544016561,23.375070625,19.049849634378,0.0,0.0
HTR2B,16.467599958456937,19.0,8.0,0.144823728790549,0.3213134625,2.81879415949668,0.0,0.0
HCAR2,16.418263260151537,21.0,8.0,-0.2595146073218618,0.68937139375,7.16365537193732,0.0,0.0
GPER1,16.37122489980475,17.0,8.0,0.0496881687736927,7.85341125,9.25904618471035,0.0,0.0
GPR55,16.359371961285746,19.0,8.0,-0.2775860189347545,0.434740509375,1.11632646707028,0.0,0.0
TMEM241,16.267958430576734,0.0,5.0,2.652676480972775,1.8644999375,2.70026767283951,0.0,0.0
PTCH1,16.239728511885993,33.0,8.0,0.2856724651286311,7.4793903125,5.69985695868946,0.0,2.4142830801964483
BIK,16.23192454211247,24.0,5.0,-0.158149501873559,0.304135,4.1763204017094,0.0,0.0
ZNRF3,16.2002673117245,0.0,8.0,1.264297501038682,7.2317925,6.68887696747388,0.0,0.0
LAPTM4B,16.169435273513848,0.0,8.0,1.3648533128207956,33.37758125,42.5048778015195,0.0,0.0
PMEL,16.143583586404617,32.0,5.0,3.1667652958284638,0.1712112875,3.39756596301045,0.0,4.348708074120753
TMEM14B,16.128735328754768,0.0,5.0,2.2104228164309334,13.74796875,17.9758084995252,0.0,0.0
