Gene,NCTId,Overall_Status,Conditions,Phase,Phase_Score,Status_Score,Cancer_Score,Modality_Score,Total_Score,EARLY_PHASE1,N/A,NA,PHASE1,PHASE2,PHASE3,PHASE4
A2M,NCT05896761,COMPLETED,Human Immunodeficiency Virus Type 1 (HIV-1),PHASE3,5,3,0,16,24,0.0,0.0,2.0,1.0,0.0,1.0,0.0
AAAS,NCT00803075,COMPLETED,"Aortic Aneurysm, Abdominal",PHASE4,6,3,0,16,25,1.0,0.0,10.0,1.0,6.0,0.0,3.0
ABAT,NCT04321395,COMPLETED,"NAFLD, Obesity",PHASE2,4,3,0,16,23,0.0,0.0,1.0,0.0,2.0,0.0,0.0
ABCA1,NCT04776889,COMPLETED,Prostate Cancer Metastatic,PHASE4,6,3,10,16,35,0.0,0.0,4.0,0.0,1.0,1.0,2.0
ABCA2,NCT04607304,COMPLETED,Gastroparesis,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ABCA7,NCT05597124,RECRUITING,"Aging, Alzheimer Disease, Healthy Aging, Cognitive Change",PHASE2,4,2,0,16,22,0.0,0.0,2.0,0.0,1.0,0.0,0.0
ABCB1,NCT02743260,COMPLETED,Healthy,PHASE4,6,3,0,16,25,0.0,0.0,13.0,57.0,16.0,3.0,10.0
ABCB4,NCT02859415,TERMINATED,"Esophageal Neoplasms, Lung Neoplasms, Mesothelioma, Thymus Neoplasms, Neoplasms, Germ Cell and Embryonal",PHASE1,3,0,10,16,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ABCD1,NCT05003648,RECRUITING,"Adrenoleukodystrophy, Restless Legs Syndrome",PHASE4,6,2,0,16,24,0.0,0.0,8.0,8.0,13.0,4.0,1.0
ABCE1,NCT01561664,COMPLETED,"Obesity, Insulin Resistance",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ABCG1,NCT03231033,COMPLETED,Autoimmune Pulmonary Alveolar Proteinosis,PHASE1,3,3,0,16,22,0.0,0.0,2.0,1.0,0.0,0.0,0.0
ABL1,NCT03332511,COMPLETED,"Chronic Myeloid Leukemia, Chronic Phase",PHASE4,6,3,10,16,35,0.0,0.0,8.0,76.0,125.0,27.0,7.0
ABL2,NCT04357613,UNKNOWN,SARS Virus,PHASE2,4,1,0,16,21,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ABR,NCT04396639,COMPLETED,Hemophilia A,PHASE4,6,3,0,16,25,0.0,0.0,17.0,3.0,5.0,2.0,5.0
ABRACL,NCT04162717,COMPLETED,"Cancer, Self Efficacy",NA,0,3,10,16,29,0.0,0.0,2.0,0.0,0.0,0.0,0.0
