"Gene","Adipose_Subcutaneous","Adipose_Visceral_Omentum","Adrenal_Gland","Artery_Aorta","Artery_Coronary","Artery_Tibial","Bladder","Brain_Amygdala","Brain_Anterior_cingulate_cortex_BA24","Brain_Caudate_basal_ganglia","Brain_Cerebellar_Hemisphere","Brain_Cerebellum","Brain_Cortex","Brain_Frontal_Cortex_BA9","Brain_Hippocampus","Brain_Hypothalamus","Brain_Nucleus_accumbens_basal_ganglia","Brain_Putamen_basal_ganglia","Brain_Spinal_cord_cervical_c-1","Brain_Substantia_nigra","Breast_Mammary_Tissue","Cells_Cultured_fibroblasts","Cells_EBV-transformed_lymphocytes","Cervix_Ectocervix","Cervix_Endocervix","Colon_Sigmoid","Colon_Transverse","Esophagus_Gastroesophageal_Junction","Esophagus_Mucosa","Esophagus_Muscularis","Fallopian_Tube","Heart_Atrial_Appendage","Heart_Left_Ventricle","Kidney_Cortex","Kidney_Medulla","Liver","Lung","Minor_Salivary_Gland","Muscle_Skeletal","Nerve_Tibial","Ovary","Pancreas","Pituitary","Prostate","Skin_Not_Sun_Exposed_Suprapubic","Skin_Sun_Exposed_Lower_leg","Small_Intestine_Terminal_Ileum","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina","Whole_Blood","VitalAverage","NonVitalAverage"
"GPNMB",141.922,113.558,9.18275,176.964,121.328,127.727,67.8994,11.5348,11.2011,7.32475,2.04748,1.5681,7.37212,10.4596,5.17679,4.46307,6.35236,5.11625,19.1033,4.93355,120.867,165.038,2.67119,316.157,270.06,70.7808,42.5281,65.5362,56.5037,41.9575,106.492,46.7028,39.8083,8.02148,8.11332,2.10348,71.8344,52.3771,5.76995,72.0469,39.8244,4.05212,12.7728,23.6014,299.508,250.78,34.7633,10.011,10.6325,11.5826,58.2712,144.04,145.111,0.550535,15.937423125,83.9818678276353
"FMN1",1.37813,1.25095,0.541135,1.09562,0.890177,0.415355,0.932547,0.235797,0.925759,0.142518,0.0887022,0.0967044,2.02884,2.53269,0.235071,0.424381,0.11742,0.104898,1.29298,0.490316,1.63307,2.1597,0.0413508,0.864498,1.32233,0.87773,2.48925,0.825082,1.06522,0.67599,0.916232,0.264354,0.148886,0.739626,0.709584,0.0710663,2.83434,2.49225,0.237603,0.890212,0.200727,0.375951,3.10566,1.15847,2.63335,3.77842,1.81402,0.890506,1.53026,5.85188,1.92941,0.484754,2.4246,0.48271,0.7477285375,1.34217098390313
"LINC00511",0.093161,0.0567052,0.0195999,0.179469,0.301649,0.206001,1.18007,2.07869,2.21128,2.16412,2.71774,2.54762,2.00599,2.2475,1.99225,2.02046,2.36099,1.65106,2.12189,1.71391,0.14847,0.802606,1.86115,0.359932,0.569893,0.633477,2.28442,0.309634,4.07682,0.325384,0.276717,0.180113,0.03035,0.214374,1.24152,0.0317324,0.522124,3.07722,0.0187449,4.43103,0.0579592,0.79158,1.55963,1.07423,5.72162,6.87531,2.18515,0.0398679,1.09093,3.10983,0.136037,0.106209,3.89661,0.01652,1.7853804375,1.30267593755935
"TMEM117",3.62923,2.95583,2.64672,6.45153,5.24258,7.55368,6.14773,2.26855,2.64603,1.92564,1.83011,1.88242,2.70961,3.6187,2.41736,3.07859,2.58533,1.74095,6.49438,2.93383,3.67985,4.8173,2.94956,7.92518,6.67209,6.17266,4.0428,4.56238,8.91832,4.56491,4.31299,3.57287,2.15309,1.95749,1.5038,1.30491,2.17353,4.18837,2.14749,11.4798,4.12948,1.27601,6.45748,5.05846,9.34841,9.53339,4.86964,1.58532,2.63973,4.58129,3.93326,5.78635,9.84646,0.16721,2.751936875,4.85337793922127
"GPM6B",5.71979,3.80359,1.97564,11.0587,16.6182,7.87884,11.4958,254.191,228.672,234.206,107.629,136.372,219.725,234.278,235.457,149.468,201.738,191.155,634.756,214.079,11.7462,12.7841,1.48015,28.4076,42.1144,30.2047,8.58259,29.158,4.6803,27.9964,8.94623,8.53029,1.59768,1.96109,5.44534,0.427152,22.3631,8.91245,1.16651,236.195,5.50694,1.45132,10.5013,24.8154,6.6398,7.56426,4.80337,14.3335,4.21033,3.10106,7.80399,6.29095,19.3961,0.176279,192.138566875,18.0525415360874
"SGCD",3.07514,2.00078,3.06427,20.2038,11.7098,26.6293,4.17702,1.91657,1.86198,1.11128,0.563607,0.795999,1.96399,1.97059,1.64895,1.58509,1.1278,0.915159,6.5933,1.87126,2.53497,4.95147,0.0445689,4.09301,5.12709,9.01359,2.85275,14.1891,1.00587,12.616,3.88361,12.7824,12.2382,0.323907,0.243632,0.301743,5.58721,1.63198,15.2319,7.67477,8.64352,0.165648,1.85699,2.95894,1.26693,1.60885,1.83102,0.954025,1.50393,1.11228,5.84744,7.23333,2.99247,0.031942,3.4083365625,5.10771111562203
"BNC2",4.82022,5.4534,0.88297,3.11099,2.58578,2.69839,7.73024,0.0884427,0.0761829,0.0832949,0.0481943,0.0717523,0.096303,0.0724282,0.151582,0.171499,0.075532,0.0706196,0.412855,0.381992,3.63827,11.8334,0.0152562,18.0327,17.0657,14.3317,4.92544,9.67805,1.75065,10.2116,22.5198,1.4448,0.393725,1.87841,1.18186,0.0812388,3.49598,1.33611,1.45582,18.5374,34.6849,0.201094,1.26826,3.67364,2.14833,1.9004,2.90058,0.399365,1.39208,5.28287,2.10593,38.3539,6.8813,0.0976932,0.44594893125,6.97751696528965
"ST3GAL6",6.38443,4.34538,6.14994,6.94419,5.02103,3.59648,1.99259,3.72175,3.44742,3.42102,11.2147,12.2069,4.85839,6.04038,3.80411,4.73687,2.22594,3.5129,6.71254,4.50943,5.22587,0.85882,2.37032,2.82729,3.7836,4.27164,2.20161,3.23348,1.98492,2.92438,3.55834,6.44271,8.97929,6.37595,6.97727,15.4819,5.78085,7.85433,2.20884,10.7669,2.2949,1.74498,5.69968,3.58282,10.8738,11.0822,1.80853,2.58721,4.13744,1.72953,4.98172,2.89134,2.11642,1.59984,5.72595,4.59993364197531
"ERBB3",0.869674,1.75695,0.575565,0.674564,3.47476,1.22363,10.815,11.7795,4.86235,12.0758,2.68944,3.46269,7.59647,6.1788,17.3715,9.67775,7.03409,15.5665,47.2242,18.5517,20.3061,0.144179,0.0843913,13.633,12.4136,19.1222,42.5055,13.9496,62.6499,13.9803,6.82262,3.85496,0.811621,15.519,13.1685,33.1959,18.2674,60.197,0.55758,116.819,1.13003,20.0106,2.01777,40.4395,66.6502,71.9048,39.4891,0.16088,45.5726,2.7562,10.0195,2.20281,43.2725,0.0737043,11.6877981875,21.2467871267806
"FHIT",2.08499,1.97445,7.67501,1.81705,1.56888,3.2517,2.96958,2.63852,3.02224,3.27267,1.54548,1.82198,3.24896,3.45183,3.14443,3.36323,3.23284,2.9259,5.46472,4.17253,3.3276,0.610822,3.65634,1.56843,2.87423,2.59717,2.61416,2.64337,1.62256,2.77546,2.57086,2.78888,2.11383,4.97235,6.08499,1.71261,2.5913,3.83549,0.922051,2.65011,3.88406,2.1101,4.45825,3.05732,3.41459,3.03074,2.39488,3.10466,2.65329,4.11984,7.35601,2.66871,2.20527,1.49011,3.04995875,3.00894798433048
"PMEL",0.841148,1.10069,0.593307,1.1006,0.776572,0.665167,0.775778,0.0691338,0.065154,0.0717507,0.101031,0.133659,0.082177,0.0676306,0.0768815,0.078148,0.0724592,0.0578276,0.238988,0.0747342,2.53023,0.581277,1.54789,7.05091,2.18078,0.504738,1.19763,0.564192,0.80353,0.606647,1.6474,0.369992,0.162244,0.920914,1.36941,1.88064,1.01757,1.79124,0.0989785,0.698674,3.31613,1.18343,0.831697,1.164,36.4384,38.1522,1.732,0.817976,1.01419,7.58259,1.6125,2.69275,1.51011,0.169767,0.1712112875,3.39756596301045
"MYO10",10.6403,9.97442,2.26682,5.23017,8.58039,18.2754,4.66712,20.4666,16.7091,24.0992,3.5536,6.21284,20.7768,15.9652,14.8376,9.29374,16.5759,20.4769,11.6539,10.8219,9.55544,22.7657,0.0993261,8.54481,7.89254,3.99645,9.61188,3.78335,9.28167,3.21965,5.43745,1.67433,1.12206,7.82318,12.0733,1.92155,26.2349,8.46851,2.57005,9.22669,15.9009,9.26083,12.7617,7.67974,16.1088,17.8315,8.68048,10.2064,17.7805,17.8092,27.5394,6.23718,9.80631,0.362337,13.779660625,9.60750424525166
"RAD51B",1.14905,1.07669,0.714928,0.804153,1.08374,0.818707,1.18602,0.385961,0.316706,0.425121,0.172529,0.212584,0.334873,0.310136,0.39566,0.408289,0.377831,0.353045,1.25518,0.559871,1.64841,1.95688,3.84824,2.32912,1.94825,0.96611,0.756335,0.573907,0.994491,0.522276,1.09734,0.271315,0.135542,0.526012,0.864871,0.218667,1.04271,3.51732,0.164342,1.47618,3.26968,0.248051,0.909921,1.30936,1.59812,1.45799,0.890147,1.04769,0.494326,0.872128,1.24065,4.89348,1.64,0.509464,0.4348345625,1.32536794064577
"DNAH14",0.156435,0.172601,0.547992,0.0349004,0.102585,0.0333972,0.381192,0.125599,0.138513,0.0406592,0.0649022,0.0821326,0.158053,0.148738,0.105871,0.443367,0.119738,0.0194026,0.410748,0.136071,0.44875,0.538255,0.0448523,0.478942,0.495755,0.208709,0.2643,0.310071,0.150019,0.39431,0.287224,0.144082,0.0353656,0.402387,0.819109,0.466816,0.384963,0.455364,0.00988626,0.188374,1.25779,0.621729,2.32115,0.886558,0.111964,0.102552,0.145524,0.123744,0.392481,7.59882,1.19465,0.148508,0.288316,0.0433856,0.159887825,0.592200893637227
"OSBPL1A",29.5319,36.8967,18.1656,18.2261,26.2729,27.0016,20.6792,25.6583,31.0558,21.1268,8.91884,9.66079,39.4644,52.5036,27.4765,19.8795,16.0968,22.1733,62.9851,34.6951,30.0109,14.6975,0.0863689,30.7417,37.601,27.8341,16.2326,24.0006,7.94882,24.6747,22.1287,13.0529,11.2256,7.93665,5.83228,2.28784,15.0923,19.257,28.8016,36.7335,18.9255,3.60159,15.2991,13.3103,10.094,11.5239,12.3417,4.89654,9.49701,9.18657,20.285,30.0767,18.7777,1.58468,25.691601875,18.2929600282526
"DST",21.589,15.0288,20.118,43.6203,43.5998,56.0787,34.8362,21.9653,19.0191,25.605,27.4046,32.2856,25.6209,23.0346,21.7805,22.3296,24.3662,21.8174,44.0512,31.1608,33.1282,41.1106,14.0039,76.6908,47.8651,59.1062,22.8449,42.9555,22.1494,42.2716,34.5087,20.4256,18.7945,6.289,8.0971,9.04268,39.4509,33.7858,21.3994,56.3209,31.6747,3.5208,19.8359,31.0088,61.6294,59.795,12.2795,8.86665,10.7312,10.6574,11.716,58.4928,45.3186,0.112661,26.1944875,30.8088847602089
"LSAMP",1.1635,3.42639,6.88763,0.588001,2.02467,0.912537,3.6936,26.9683,36.9413,33.0415,55.1436,50.0317,34.6169,43.8941,24.0307,29.7216,31.3833,23.077,15.9333,23.2079,2.00716,0.318766,0.980243,7.79492,14.5173,17.1917,6.24627,1.52811,1.23683,0.920014,3.07507,1.22263,0.811995,0.274502,2.54317,0.0804625,13.3116,0.900746,0.0346405,6.4463,3.86025,0.700418,5.84977,12.5464,1.81379,2.73761,2.87443,0.522548,1.28091,2.20111,1.31396,2.94512,7.51563,0.0148966,27.7085890625,3.63088937701804
"CABLES1",14.5871,13.9925,2.30922,16.2269,6.57201,4.36531,5.05011,25.3911,29.0297,39.5508,8.8505,13.768,31.9601,27.9137,11.7079,16.7011,38.258,32.5667,2.56101,19.6917,12.7119,4.06703,26.8729,6.14153,8.23802,2.61767,2.49944,3.90692,4.34174,2.47033,8.4445,2.19531,0.660756,7.53409,7.89045,3.58844,11.407,6.38178,0.616285,11.9793,3.63312,1.23521,4.27004,4.10403,13.9623,12.0919,3.44632,3.65593,6.24417,3.44402,13.3689,8.37895,7.14185,0.151179,19.513336,7.16122984140551
"PHF14",10.3622,10.0147,8.95919,12.3683,11.9629,12.3114,11.6947,7.19437,7.3239,6.9043,12.6723,10.2316,7.20732,9.44103,7.60045,8.43111,7.28951,5.79037,7.95283,6.12553,10.6415,13.7024,12.34,15.1699,15.0418,10.432,8.2669,9.78844,8.86213,9.73757,13.21,3.80579,2.55293,4.76827,7.70881,4.31507,9.88951,9.02509,3.86629,14.0913,16.3733,3.62218,11.4496,11.3799,9.69727,9.30659,8.56573,8.99808,7.14297,11.8372,11.5765,16.6305,11.4047,1.49441,7.525803125,10.193257977208
