Gene,Malignant_Percent,NonMalignant_Percent,Z_Score
GPNMB,79.85098376921205,14.500168671989206,3.538044834239014
FMN1,81.7857610872943,16.631058135612278,3.5346073319541502
LINC00511,74.267555272666,9.631170583605082,3.478116013872608
TMEM117,69.55557219611734,4.829641290902957,3.465317325732653
GPM6B,70.91843420633882,7.151692342291691,3.4181050258247954
SGCD,66.26074096261489,2.2939390531879007,3.4115389888381413
BNC2,69.43482411966228,5.779826830091083,3.406441095642394
ST3GAL6,72.32528970178033,11.036770493646689,3.288189380246427
ERBB3,62.051406855495436,1.3999775104014394,3.2148768066594
FHIT,65.97525132448472,5.954121218936241,3.1952177498265666
PMEL,61.841735776999826,2.057798268300911,3.1667652958284633
MYO10,82.44098320759309,24.384347239401777,3.149842638819365
RAD51B,65.48477076586106,7.342853930057348,3.0908595357247988
DNAH14,60.67169627646629,2.659395029798718,3.065725436796753
OSBPL1A,66.94778815732819,9.490610592600921,3.0589952802658136
DST,77.58578729617912,21.303272236590576,3.0348371028352705
LSAMP,63.10537843757606,7.365343528618014,2.9508990166167575
CABLES1,60.445176629163,4.77903969414146,2.936884081807985
PHF14,72.63418012992119,18.12099404025638,2.919731158792401
IMMP2L,74.97519516258869,20.999662656021588,2.8991859908378115
RGS12,65.27977984536759,11.087372090408186,2.874631066190148
SGK3,61.83799165059812,7.573372315304172,2.8656536661465557
MICAL3,67.66572439485557,13.943551107612729,2.8579324575750906
MYO5A,80.89372297208753,28.235690992915774,2.849523671812143
HIBCH,65.18711271692533,11.643989654784662,2.8388626047291527
FARS2,64.26980174850702,10.73878331271787,2.834759653090828
EXOC4,77.804818690679,25.295175981108738,2.829836093449851
EHBP1,69.73154613699758,16.816597323737774,2.8216484997484215
HIBADH,61.61989628769867,8.25368267176431,2.8158240821152103
CAPN3,54.68015800213415,0.9558079388282918,2.8093172970644114
CTNND1,66.08851114813636,13.797368716968403,2.773945687645435
SNCA,63.213958103225565,10.84560890588103,2.7673695853252207
MAGI2,65.75996405638655,13.623074328123245,2.764297664101536
TM7SF3,56.2030814160286,3.5083773754638483,2.7588620282914347
MITF,71.97334182001984,20.797256268975598,2.735200895143156
ZKSCAN1,70.3249901716682,19.245473968289666,2.723746561781918
WDPCP,64.26324952730404,13.015855166985268,2.710155602864798
HDAC8,58.73036673718105,7.6127291127853365,2.682312414322865
TRIM2,54.173764906303234,2.934892612166873,2.6718255739135017
BCAS3,66.75964580564239,16.546722141009784,2.6630905064933437
LONP2,71.20392384446899,21.320139435511077,2.661813901393959
TMEM241,56.491379148960064,5.762959631170583,2.652676480972775
LYPLAL1,54.59685118969616,3.924434948836163,2.642511282479486
GNG7,57.19621094408147,6.791858765321039,2.637642689247455
BICD1,60.83362974334013,11.014280895086022,2.6193797430555312
PLEKHA5,73.78175487204447,25.09839199370291,2.6060012414045857
NSG1,51.60529419473201,1.5068031035646012,2.599974612030242
NSMCE2,72.9346462736582,24.614865624648598,2.5829874556281016
MAD1L1,52.528221352752865,2.9067806139660406,2.5774135730641996
SCFD2,60.09042065260123,11.098616889688518,2.5714451329830217
TEX41,53.583128966433904,4.171820533003486,2.5699091346878866
BACE2,75.06411816462924,27.251771055886653,2.5632969873624822
ITFG1,65.23953048654923,16.97402451366243,2.551147362861328
WWOX,61.96061179025404,13.516248734960081,2.5485990753638315
SMYD3,74.7243386936743,27.195547059484987,2.5465529035267935
SOX6,51.24024187056555,2.2939390531879007,2.535748807440675
CDKAL1,70.19113765280716,22.624536152029687,2.531602777875116
ACBD6,65.57182170470075,17.721803665804565,2.5297281483456877
LGALS3BP,53.04865492259019,4.346114921848645,2.529237562840221
NHSL1,58.94659003687964,10.761272911278533,2.5231558286612286
ZNF704,65.47353838665593,17.90172045428989,2.514182536009308
SORT1,58.91944512046726,10.913077701563028,2.513291640581981
DISC1,59.97996892375087,12.296188013043967,2.4996735201319376
ETV5,54.28234457195275,6.8480827617227025,2.464678623862879
PIR,53.36128947713274,5.869785224333746,2.464344739250864
GCNT2,51.30763614579629,4.183065332283819,2.436620056636885
ZNF106,74.97425913098826,29.585066906555717,2.430768412385385
CNIH3,51.56130070951195,4.6384797031373,2.426565903624935
DSTYK,56.406200273321225,9.929157764533903,2.420429735386463
CALD1,72.46475841024393,27.24052625660632,2.4123513009891058
VWA8,51.69796132317427,5.189474867873608,2.4044754222658895
FARP2,65.06917273527154,19.481614753176657,2.404416851356423
HPS4,52.55349420596439,6.330821994827391,2.3920940374785036
DOCK7,57.942228129621654,12.172495220960306,2.3876081948173535
RANBP17,49.1697399704214,2.895535814685708,2.3822062903106063
FRMD4B,61.46919520002996,16.113797368716966,2.3782412647826563
ZC3H13,74.88908025534941,30.57460924322501,2.3718190447066614
SUMF1,52.75193290525488,7.281007534015519,2.35182841696365
COA1,62.440796001273,17.688069267963566,2.3490098556272394
CLCN7,55.24552108879196,10.041605757337232,2.3466203710189912
CCDC14,52.176273470992385,6.819970763521871,2.3434149517200296
RAD50,47.328565812381825,1.658607893849095,2.3423328067300506
FRMD4A,64.02268940599434,19.813336331946473,2.325303708353702
LIMA1,57.46297995020312,12.880917575621275,2.3210181432919037
INPP4B,70.22296272722167,26.52648150230518,2.320593991321259
DAAM2,49.443997229346465,4.520409310693804,2.309554849035573
PTPN14,57.968437014433604,13.651186326324074,2.308468709703797
LDLRAD3,64.47385663740008,20.7635218711346,2.2997737611096967
KIF13A,65.33126158339105,21.702462611042392,2.2985434862800815
AGAP1,66.37025665986484,22.83818733835601,2.297165829778824
RAB38,50.275193290525486,5.712358034409086,2.292993984283164
VPS41,54.8598760694161,10.862476104801528,2.2793535558036164
CSGALNACT1,59.73660070763989,16.209378162599798,2.272005780637465
ANKS1A,64.02549750079562,20.797256268975598,2.2717912590587854
GPATCH2,52.1772095025928,8.152479478241313,2.2707766458733656
ANKHD1,57.623977385476536,14.011019903294727,2.268754387339208
BBS9,54.85706797461483,11.137973687169685,2.264160495981188
TNFRSF14,55.406518524065376,11.818284043629822,2.2590836974390873
NAALADL2,48.72512496021866,4.942089283706286,2.2446359683517607
TASP1,52.84928019169928,9.411896997638593,2.241257112342946
HERC2,60.687608813673556,17.93545485213089,2.233292219376491
ST3GAL5,56.940674317164955,13.949173507252896,2.2322874241915445
MTAP,52.643353239605375,9.36691780051726,2.2317040356383497
NUBPL,46.787539547335115,3.3621949848195207,2.2178510806947767
SEMA5A,48.514517850122616,5.2288316653547735,2.216713468460943
STX7,63.7840013478855,21.64623861464073,2.211395630150336
TMEM14B,57.623041353876104,15.079275834926348,2.2104228164309334
SDCCAG8,62.71505326019806,20.549870684808276,2.2088797893262417
GIPC1,51.99749143531086,9.119532216349938,2.2075419289513727
MNAT1,52.84553606529756,10.041605757337232,2.2066860515135938
RAPGEF6,50.79749892356366,7.927583492634656,2.202599626041875
SPECC1L,50.777842259954696,8.124367480040481,2.1907182823212237
CTDSPL,49.92043731396372,7.320364331496683,2.1845872526025527
CHD9,78.47408128498418,37.97930956932419,2.1768957117947942
POLR2F,74.49126682516801,33.75126503991904,2.1753266255394026
KIF26B,46.2006477338675,3.5533565725851792,2.173203057989065
TDRD3,54.290768856356586,12.223096817721805,2.171944515131811
ARHGEF11,54.36377932118989,12.313055211964466,2.1712939510445324
ATXN7L1,53.29202313870116,11.171708085010684,2.1710681487001913
PTPRJ,71.45010015538125,30.63083323962667,2.168237524859321
SPTBN1,75.45912350000935,35.01630495895648,2.162746566369798
JPX,62.08135986670909,20.859102665017428,2.1550617967572885
DLEU1,61.23518729992325,19.965141122230968,2.1544932222161806
MACROD2,44.818129060037066,2.4232542449117283,2.1542443931326565
TRAPPC9,58.5160155006833,17.243899696390418,2.1444012681924978
HEXA,54.16627665349982,12.627909591813784,2.142601917986865
SIL1,58.85205084523653,17.755538063645567,2.136082642907038
NEDD4L,64.34468427654117,23.692792083661306,2.1324405418688674
GTF2I,69.47881760488234,29.2196109299449,2.130286250080865
DIS3L2,50.66739053110433,9.13077701563027,2.1293751842468795
TTC3,77.53430555815565,38.24918475205217,2.10737822875773
FBXL17,58.94659003687964,18.390869222984367,2.1069354006601717
SMARCA4,62.26201396559148,21.96109299449005,2.105477753839886
PPFIBP1,72.40017222981447,32.82919149893174,2.1037048211116716
PTK2,75.28314955912911,35.93275610030361,2.102490644924092
METTL15,50.17410187767939,9.187001012031935,2.0975461228564356
CDC16,52.47486755152854,11.649612054424829,2.097351518182596
PCCA,58.342849654604336,17.941077251771056,2.096271196340766
AP1S2,68.34809143156673,28.640503767007758,2.0959500216887976
IGF1R,69.2504258943782,29.61880130439672,2.0951923749474153
SLC25A13,64.63204597787221,24.85100640953559,2.0860110174373703
LRRC8D,46.676151786884326,5.667378837287754,2.085600849775501
SMC6,52.80341464327836,12.2736984144833,2.082461859898873
PKD2,58.25392665256379,18.12099404025638,2.081271349681085
TPT1-AS1,56.43053709493232,16.209378162599798,2.0792413436276895
MTX2,48.064286650317314,7.348476329697514,2.07482831379909
WDFY1,58.5890259655166,18.666366805352524,2.071057821690885
LZTS1,41.735776999831515,0.6578207578994715,2.0708341569693878
PARN,51.308572177396705,10.890588103002361,2.070756452950125
PILRB,43.317670404552864,2.3614078488698977,2.070132086409247
PARD3B,50.27612932212592,9.811087372090409,2.0694489351966183
TMEM87A,66.46479585150796,27.24614865624649,2.0622087812027687
TBCK,50.915438905217435,10.648824918475205,2.0610232985111514
TNFRSF19,42.29926802328847,1.501180703924435,2.057681097279821
ST3GAL4,58.914764962465135,19.31856516361183,2.0544708285899262
SLC27A1,46.34666866353408,5.892274822894411,2.0541210570419155
COMMD10,56.35846266169946,16.625435735972115,2.0523415922265635
SLC39A11,50.64773386749537,10.541999325312043,2.051242099591646
CDC42BPA,61.27824475354288,21.94422579556955,2.0490379442874493
PDCD6,55.232416646385985,15.534690205779828,2.0461898597517663
CKMT2-AS1,45.17662916300054,4.829641290902957,2.0438706207724104
DIP2C,70.13778385158282,31.5641515798943,2.0408054871939267
MSI2,75.05288578542412,36.956032834813904,2.0332415831194757
HIVEP3,50.71232004792482,10.963679298324525,2.032003806047466
PHACTR1,56.34535821929349,17.05273810862476,2.0282667225429445
VPS45,47.82840668700975,7.966940290115822,2.0273357062333153
ITCH,56.81805417750903,17.614978072641403,2.0251557869316708
CPEB2,55.16689443435611,15.928258180591476,2.0208990284157093
RHOBTB3,57.256116966508785,18.244686832340044,2.016344866042469
CCDC144A,41.88273396109853,1.9172382772967504,2.0106971689762037
FAM172A,59.984649081753005,21.275160238389745,2.01011292948636
RABGEF1,54.970327798266474,15.92263578095131,2.0097446702278945
ARMC9,55.534754853323854,16.557966940290118,2.0079948649512733
CYP27A1,43.444034670610485,3.654559766108175,2.006954087790255
