Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
RNF43,10.811220106834357,33.0,8.0,0.9181225424693916,0.0,0.0,0.0,0.0
MC1R,10.720877780746905,33.0,8.0,0.5896937867796934,6.25512625,8.60480586419753,0.0,0.0
NRG4,10.548888994268005,33.0,8.0,-0.0932370107686951,2.6485339,1.25562438266857,0.0,0.0
ERBB3,10.40830811874402,34.0,10.0,3.2148768066594,11.6877981875,21.2467871267806,3.5073840912295324,3.7562116469915368
LTK,10.407036985308201,31.0,8.0,-0.1982903358188973,3.2196199375,2.00238849192783,0.0,0.0
PTCH1,10.316691072506115,33.0,8.0,0.2856724651286311,7.4793903125,5.69985695868946,0.0,2.4142830801964483
NRG2,10.265834375141196,33.0,8.0,0.6504547117329429,4.5335228125,2.74448465432099,0.0,3.50582678301007
PIGF,10.219656913799891,34.0,5.0,0.7289347472307104,0.0,0.0,0.0,0.0
PMEL,10.145455210727933,32.0,5.0,3.1667652958284638,0.1712112875,3.39756596301045,0.0,4.348708074120753
MAK,10.060325111535327,33.0,7.0,1.2796696389819164,0.23174385625,0.916839229677113,0.0,4.770568506122119
BLNK,10.058226406695542,28.0,10.0,-0.2259541591674015,1.9790601875,15.5428338535138,0.0,4.211899406002681
NPIPA1,9.942726188175449,32.0,5.0,0.1707010544016561,23.375070625,19.049849634378,0.0,0.0
HPS4,9.910759929806844,23.0,7.0,2.392094037478504,18.59682125,21.3266901661918,0.0,3.647913791827762
LZTS1,9.897808987646489,33.0,10.0,2.070834156969388,12.32271625,3.89804978846154,4.078916151135954,3.830440289848081
TNFSF13B,9.892461140289589,24.0,10.0,-0.0896660460356022,2.3523565625,3.74410180674264,0.0,4.022717800700347
PDCD1LG2,9.849346860096498,32.0,8.0,-0.3046267268015276,0.84089525,2.87352310731244,0.0,4.3641492418769054
IGF1R,9.84878513229922,33.0,10.0,2.0951923749474157,8.851788125,17.3593254226021,4.340348682875237,3.720922597973853
HCAR2,9.820404860727457,21.0,8.0,-0.2595146073218618,0.68937139375,7.16365537193732,0.0,0.0
HTR2B,9.81134796583958,19.0,8.0,0.144823728790549,0.3213134625,2.81879415949668,0.0,0.0
LAT,9.802563174364936,25.0,10.0,-0.2096361573316493,10.15007,24.8455735375119,0.0,4.814289812974263
ADIPOR2,9.786581016112741,23.0,8.0,1.4304175478179912,34.0179125,38.3674782051282,0.0,4.116244308186189
EPOR,9.780842663572379,23.0,10.0,-0.1923027605716782,7.42459875,19.7840459069326,0.0,4.181983680133286
MLLT10,9.769310253512263,32.0,5.0,1.4901947386691394,8.660984375,19.5239271367521,0.0,3.8724213029514343
TCHP,9.749063656878155,34.0,10.0,1.2730504189949308,12.1181625,16.3675415004748,4.1386125642380645,3.69839049623967
