Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
RNF43,6.4056100534171785,33.0,8.0,0.9181225424693916,0.0,0.0,0.0,0.0
MC1R,6.359551149460437,33.0,8.0,0.5896937867796934,6.25512625,8.60480586419753,0.0,0.0
NRG4,6.2743149568336785,33.0,8.0,-0.0932370107686951,2.6485339,1.25562438266857,0.0,0.0
LTK,6.203311910167977,31.0,8.0,-0.1982903358188973,3.2196199375,2.00238849192783,0.0,0.0
PIGF,6.109828456899946,34.0,5.0,0.7289347472307104,0.0,0.0,0.0,0.0
PTCH1,5.994892067577635,33.0,8.0,0.2856724651286311,7.4793903125,5.69985695868946,0.0,2.4142830801964483
NPIPA1,5.969397758532903,32.0,5.0,0.1707010544016561,23.375070625,19.049849634378,0.0,0.0
ERBB3,5.948571316675263,34.0,10.0,3.2148768066594,11.6877981875,21.2467871267806,3.5073840912295324,3.7562116469915368
HCAR2,5.909463370115215,21.0,8.0,-0.2595146073218618,0.68937139375,7.16365537193732,0.0,0.0
HTR2B,5.905383173465138,19.0,8.0,0.144823728790549,0.3213134625,2.81879415949668,0.0,0.0
NRG2,5.896134035061084,33.0,8.0,0.6504547117329429,4.5335228125,2.74448465432099,0.0,3.50582678301007
GPR55,5.85132375836436,19.0,8.0,-0.2775860189347545,0.434740509375,1.11632646707028,0.0,0.0
GPER1,5.832248819721181,17.0,8.0,0.0496881687736927,7.85341125,9.25904618471035,0.0,0.0
PMP22,5.825921925268251,23.0,8.0,-0.7128023681170218,101.1129125,250.058506125356,0.0,0.0
PMEL,5.779017040824063,32.0,5.0,3.1667652958284638,0.1712112875,3.39756596301045,0.0,4.348708074120753
BLNK,5.74337862851538,28.0,10.0,-0.2259541591674015,1.9790601875,15.5428338535138,0.0,4.211899406002681
BIK,5.708965770083378,24.0,5.0,-0.158149501873559,0.304135,4.1763204017094,0.0,0.0
MAK,5.708249587046216,33.0,7.0,1.2796696389819164,0.23174385625,0.916839229677113,0.0,4.770568506122119
HPS4,5.707094657384935,23.0,7.0,2.392094037478504,18.59682125,21.3266901661918,0.0,3.647913791827762
MAL,5.705401558234904,25.0,5.0,-0.0325720678953678,74.760474375,122.497080716999,0.0,0.0
LZTS1,5.690104186923924,33.0,10.0,2.070834156969388,12.32271625,3.89804978846154,4.078916151135954,3.830440289848081
TNFSF13B,5.674475272994286,24.0,10.0,-0.0896660460356022,2.3523565625,3.74410180674264,0.0,4.022717800700347
MMD,5.673888300050336,25.0,5.0,-0.5576804582336448,32.151155625,13.8821941310541,0.0,0.0
IGF1R,5.671591453629557,33.0,10.0,2.0951923749474157,8.851788125,17.3593254226021,4.340348682875237,3.720922597973853
AXIN2,5.659017142687409,26.0,7.0,-0.0240267119060919,7.6113275,13.4203354677113,0.0,2.372582587332909
STIL,5.658400846485245,33.0,5.0,0.2014436517044097,0.6579204375,1.99249649192783,0.0,2.6262805657678485
ABCB4,5.650888337337688,29.0,10.0,0.3605070759915993,0.31669134375,1.68400329534663,2.5587616039711243,3.172252952102182
DLL3,5.643314330946852,34.0,7.0,0.2787034400228315,4.879368975,0.355828470417854,4.564670582662973,0.0
ROBO1,5.6308451955215,30.0,10.0,1.8233620871349685,8.02684125,9.69916873765432,3.9903306266957568,3.486888853641402
