Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
ERBB3,12.006669330334097,34.0,10.0,3.2148768066594,11.6877981875,21.2467871267806,3.5073840912295324,3.7562116469915368
GPNMB,11.408328418170223,33.0,8.0,3.538044834239014,15.937423125,83.9818678276353,4.316531439127146,4.717716349094831
LZTS1,11.3426023729646,33.0,10.0,2.070834156969388,12.32271625,3.89804978846154,4.078916151135954,3.830440289848081
IGF1R,11.32436142374162,33.0,10.0,2.0951923749474157,8.851788125,17.3593254226021,4.340348682875237,3.720922597973853
RNF43,11.302544445965822,33.0,8.0,0.9181225424693916,0.0,0.0,0.0,0.0
TCHP,11.177127464765567,34.0,10.0,1.2730504189949308,12.1181625,16.3675415004748,4.1386125642380645,3.69839049623967
MC1R,11.17281990338661,33.0,8.0,0.5896937867796934,6.25512625,8.60480586419753,0.0,0.0
PMEL,11.134285227714996,32.0,5.0,3.1667652958284638,0.1712112875,3.39756596301045,0.0,4.348708074120753
CDH1,11.126969783666881,33.0,10.0,1.8029155376618085,2.53294699375,29.8309763055081,4.279405565885814,5.104959915774792
SORT1,11.111754137114653,31.0,10.0,2.513291640581981,52.91546875,42.1914926875594,4.560900078679693,4.348393386035527
TNFRSF14,11.039213227912049,31.0,10.0,2.2590836974390878,21.769541875,88.1887773836657,4.385453967731071,4.3920763865398165
ERBB2,10.999311533791456,35.0,10.0,0.5265573361811433,11.610739375,48.625204620133,4.1334712371680045,4.141867729502681
FHIT,10.995712698572026,33.0,7.0,3.1952177498265666,3.04995875,3.00894798433048,4.9073055469402265,4.927684104918926
NRG2,10.960940989040907,33.0,8.0,0.6504547117329429,4.5335228125,2.74448465432099,0.0,3.50582678301007
CDH3,10.932091049921569,32.0,10.0,1.7189330868298645,1.26754958125,7.25571679786325,4.864538553269406,4.28261714713515
MAK,10.920176583828672,33.0,7.0,1.2796696389819164,0.23174385625,0.916839229677113,0.0,4.770568506122119
NRG4,10.911006231471882,33.0,8.0,-0.0932370107686951,2.6485339,1.25562438266857,0.0,0.0
NKTR,10.901400903462008,33.0,10.0,0.9101894274874156,0.0,0.0,4.09126809295772,3.766784382971685
PTCH1,10.892456818765728,33.0,8.0,0.2856724651286311,7.4793903125,5.69985695868946,0.0,2.4142830801964483
ROBO1,10.854197819698161,30.0,10.0,1.8233620871349685,8.02684125,9.69916873765432,3.9903306266957568,3.486888853641402
BRAF,10.820463761338129,35.0,10.0,0.2779554078008601,9.1516025,11.726697668566,4.812817453410536,4.099089826784257
EPS8,10.811004308476578,31.0,10.0,1.731561018513497,12.882800625,52.4339322958215,4.509929609610224,4.606780321776364
PIGF,10.77234251355698,34.0,5.0,0.7289347472307104,0.0,0.0,0.0,0.0
PTK2,10.687478643811684,33.0,7.0,2.102490644924092,18.3902775,18.449023454416,4.321210935665873,4.300135937173602
EPHA2,10.666856696474357,33.0,10.0,0.2056914157544747,5.082325,26.8852821253561,3.647547501946295,4.019969483781757
WLS,10.638838354799548,33.0,8.0,1.547850078236956,25.392509375,38.8926660968661,4.456277997156165,4.480087909353436
NEO1,10.623595073776809,31.0,10.0,1.1129138818669495,17.608419375,19.8400189838556,4.410762061094744,4.0662578845353705
DDR2,10.611142534947339,30.0,10.0,1.237354455891791,7.402575,34.0031090479582,3.761379927454121,4.152323334233237
TGFBR1,10.607709350034222,32.0,10.0,0.4062105137914216,7.143745,17.0743237986705,3.598516162956541,4.028792265957396
RAF1,10.599901928596697,33.0,10.0,0.3638694517420775,53.54239375,95.1958168566002,4.4146852134728,4.071049029667265
RAD51B,10.599626289200948,32.0,5.0,3.0908595357247988,0.4348345625,1.32536794064577,3.807975489697952,4.33634640969481
LTK,10.58446301296312,31.0,8.0,-0.1982903358188973,3.2196199375,2.00238849192783,0.0,0.0
ADAM12,10.568402104858516,32.0,10.0,0.4654663846182185,0.6816999625,2.02357091163343,3.976574536002679,4.259292656533186
MLLT10,10.514582740523348,32.0,5.0,1.4901947386691394,8.660984375,19.5239271367521,0.0,3.8724213029514343
RASGRP1,10.510414445750396,33.0,10.0,-0.3483706473974479,8.795848125,2.32825749762583,3.5779991106900733,3.324262004759659
PPL,10.486956573946198,32.0,10.0,0.3065721135702184,6.184547875,82.5280055821462,4.002084905126421,4.357459265895984
GNAQ,10.469722211031787,33.0,10.0,0.5837931758569175,35.302825,29.2220826899335,5.547210371513844,5.215226652445621
