Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
ERBB3,14.829758492987112,34.0,10.0,3.2148768066594,11.6877981875,21.2467871267806,3.5073840912295324,3.7562116469915368
GPNMB,14.63689984674165,33.0,8.0,3.538044834239014,15.937423125,83.9818678276353,4.316531439127146,4.717716349094831
PMEL,14.142594048800742,32.0,5.0,3.1667652958284638,0.1712112875,3.39756596301045,0.0,4.348708074120753
FHIT,13.915373417334441,33.0,7.0,3.1952177498265666,3.04995875,3.00894798433048,4.9073055469402265,4.927684104918926
MYO10,13.834256202474855,0.0,10.0,3.149842638819365,13.779660625,9.60750424525166,3.4340803877287978,3.024439128165222
TMEM117,13.806748429826193,0.0,8.0,3.465317325732653,2.751936875,4.85337793922127,3.5858508573393,3.283092760541765
FMN1,13.714571495854441,0.0,7.0,3.5346073319541502,0.7477285375,1.34217098390313,3.3988706403502262,3.390357950551109
DST,13.69313588965334,25.0,7.0,3.0348371028352705,26.1944875,30.8088847602089,3.877991213368305,3.649611172538792
SORT1,13.645524102135594,31.0,10.0,2.513291640581981,52.91546875,42.1914926875594,4.560900078679693,4.348393386035527
RAD51B,13.539538815774543,32.0,5.0,3.0908595357247988,0.4348345625,1.32536794064577,3.807975489697952,4.33634640969481
SGCD,13.433580769403354,0.0,8.0,3.4115389888381413,3.4083365625,5.10771111562203,5.008842588801772,4.980473762312618
GPM6B,13.392683347466168,0.0,8.0,3.418105025824796,192.138566875,18.0525415360874,5.110040822518536,4.5952234245361225
TNFRSF14,13.343924405789773,31.0,10.0,2.2590836974390878,21.769541875,88.1887773836657,4.385453967731071,4.3920763865398165
HPS4,13.327776795692378,23.0,7.0,2.392094037478504,18.59682125,21.3266901661918,0.0,3.647913791827762
IGF1R,13.252823853885083,33.0,10.0,2.0951923749474157,8.851788125,17.3593254226021,4.340348682875237,3.720922597973853
LZTS1,13.249116378530788,33.0,10.0,2.070834156969388,12.32271625,3.89804978846154,4.078916151135954,3.830440289848081
WDPCP,13.10627994863928,0.0,7.0,2.710155602864798,1.05911675,1.43406059021842,0.0,3.3729983191536363
PKD2,13.057088376895607,23.0,10.0,2.081271349681085,14.455769375,45.6007793019943,3.4834700272955224,3.740502235087837
CTNND1,12.966099589195757,0.0,10.0,2.773945687645435,29.34530625,91.0197135327635,5.211065405285265,5.02009998381937
LINC00511,12.922150007057768,0.0,0.0,3.478116013872608,1.7853804375,1.30267593755935,0.0,0.0
CNIH3,12.884813419291683,0.0,8.0,2.426565903624935,2.719427625,1.12109279297246,0.0,4.20191407713294
ROBO1,12.88057966469036,30.0,10.0,1.8233620871349685,8.02684125,9.69916873765432,3.9903306266957568,3.486888853641402
TMEM241,12.859440984239008,0.0,5.0,2.652676480972775,1.8644999375,2.70026767283951,0.0,0.0
LSAMP,12.846896413709636,0.0,8.0,2.950899016616757,27.7085890625,3.63088937701804,5.068060820785519,4.65750207322368
TM7SF3,12.806815192599808,0.0,8.0,2.7588620282914347,14.570943125,30.5086303133903,3.79560779003579,4.1165946538369615
CDH1,12.792070742760389,33.0,10.0,1.8029155376618085,2.53294699375,29.8309763055081,4.279405565885814,5.104959915774792
ST3GAL6,12.73882638406343,0.0,5.0,3.288189380246427,5.72595,4.59993364197531,4.6808108174780365,4.667658912135153
MAGI2,12.717046762779328,0.0,7.0,2.764297664101536,3.3168049375,1.42758122507122,3.453124991276276,3.359287470876032
MICAL3,12.683197319038255,0.0,7.0,2.85793245757509,15.02122,13.0577611063628,4.284019104629484,3.936663495388698
BACE2,12.644745148736465,0.0,8.0,2.5632969873624822,2.498439,14.0053010061728,3.27765700415285,3.890876504587256
EPS8,12.640381381796782,31.0,10.0,1.731561018513497,12.882800625,52.4339322958215,4.509929609610224,4.606780321776364
EHBP1,12.638381522622497,0.0,7.0,2.821648499748421,16.31628875,24.2816902184236,4.264746886536929,3.923301582461224
CDH3,12.635803776644975,32.0,10.0,1.7189330868298645,1.26754958125,7.25571679786325,4.864538553269406,4.28261714713515
PTK2,12.622517315627352,33.0,7.0,2.102490644924092,18.3902775,18.449023454416,4.321210935665873,4.300135937173602
BNC2,12.554310834750192,0.0,0.0,3.406441095642394,0.44594893125,6.97751696528965,0.0,4.082776586679555
BMPR2,12.476747515625576,24.0,10.0,1.6507476864172603,13.915871875,17.5790376780627,4.006567843882687,3.5661388848594884
LIMA1,12.432349310631698,0.0,10.0,2.321018143291904,25.19125875,54.8371763437797,4.909456121209594,4.959189943892654
IMMP2L,12.377734906084811,0.0,5.0,2.8991859908378115,2.19903625,6.08151979582146,3.86558077038249,4.218827992089351
ITGA6,12.29997432010141,31.0,8.0,1.7612518449621946,12.633775,38.9196788580247,4.258455105299404,4.807443270754891
TMEM14B,12.284765687385136,0.0,5.0,2.2104228164309334,13.74796875,17.9758084995252,0.0,0.0
MYO5A,12.27755755888432,0.0,5.0,2.849523671812143,25.605615,9.05629859449193,4.05831720713114,4.260447831946162
LDLRAD3,12.27337922148622,0.0,8.0,2.2997737611096967,10.249111875,9.4955793019943,3.879070686275401,3.152098756497034
ITCH,12.26822345907734,25.0,7.0,2.0251557869316708,13.245813125,22.6374530674264,4.496589955034327,4.360523756432739
DSTYK,12.252817130709168,0.0,7.0,2.420429735386463,11.850069375,9.59797799620133,3.529493114031931,3.475718886864843
ADIPOR2,12.251569037223458,23.0,8.0,1.4304175478179912,34.0179125,38.3674782051282,0.0,4.116244308186189
TCHP,12.250497906193997,34.0,10.0,1.2730504189949308,12.1181625,16.3675415004748,4.1386125642380645,3.69839049623967
PHACTR1,12.245787800618034,19.0,7.0,2.0282667225429445,10.168969375,2.59720275641026,3.571565045195644,4.079727913701538
SLC27A1,12.190194263470765,0.0,10.0,2.0541210570419155,19.90986875,18.4065800094967,4.431995800735876,4.477865656223534
RNF43,12.1703862484575,33.0,8.0,0.9181225424693916,0.0,0.0,0.0,0.0
GNG7,12.144350893814101,0.0,7.0,2.637642689247455,138.4453375,12.7528804843305,5.34439521035607,5.04441340939734
CHL1,12.124852177121143,24.0,8.0,1.7760387020062345,12.615349875,5.93067221058879,4.3915143826029786,4.509101375361984
PARD3,12.124278773892852,0.0,10.0,1.958044599685838,6.997635,24.2894699477683,4.249849934566565,4.033086865902967
P2RX7,12.116851695290668,26.0,8.0,1.6234386936574956,10.5452006875,5.27639712773029,3.777944439751439,3.7830680159477232
MAK,12.11379711061363,33.0,7.0,1.2796696389819164,0.23174385625,0.916839229677113,0.0,4.770568506122119
DDR2,12.109491323184194,30.0,10.0,1.237354455891791,7.402575,34.0031090479582,3.761379927454121,4.152323334233237
KIF26B,12.100290338611783,0.0,7.0,2.173203057989065,2.31749403125,0.620285554605888,2.2281233129206366,3.6432480010001584
ATP10A,12.081205991762742,0.0,8.0,1.7454302440656102,4.221248375,6.15108690598291,0.0,3.102301088283122
PILRB,12.078315007716114,0.0,5.0,2.070132086409247,64.3778625,111.221216904084,0.0,0.0
WLS,12.074107845782152,33.0,8.0,1.547850078236956,25.392509375,38.8926660968661,4.456277997156165,4.480087909353436
RDX,12.070914567576644,22.0,10.0,1.654209571325352,24.3760125,33.5184845204179,5.694133266212002,5.400835878826316
PDE4D,12.051742905698688,22.0,10.0,1.3929515398337196,3.082618125,5.47822001661918,4.06333183960268,4.058178390211517
BBS9,12.039333097455,0.0,7.0,2.264160495981188,4.209078125,7.00403112535613,3.4571700710905446,3.8413170167348087
MLLT10,12.012186531565753,32.0,5.0,1.4901947386691394,8.660984375,19.5239271367521,0.0,3.8724213029514343
ABCC5,12.011857230355245,0.0,10.0,1.8257585272424357,24.117509375,19.4015577160494,4.205111165698591,3.18958305246416
PTPRJ,12.006659889821814,0.0,8.0,2.168237524859321,6.204040625,8.34470268281102,4.077403459219604,4.226031966507535
MCOLN3,12.003625093549497,0.0,8.0,1.8025377851587836,1.16987533125,5.59085373660969,0.0,5.357426332603074
HERC2,11.991569933971515,0.0,7.0,2.233292219376491,13.486234375,15.361169325736,3.723427690686561,3.3786390347110555
ENOX2,11.97614945755694,0.0,10.0,1.715659957591107,4.753140625,7.83869040835707,3.1246387162652822,3.857388378685519
MITF,11.968328310031755,25.0,0.0,2.735200895143156,3.1803058125,13.5102870251662,3.3658253020097684,3.892265748181726
HDAC8,11.959379786155795,32.0,0.0,2.682312414322865,4.916351875,6.18917458689459,4.428738959468814,3.888432437824064
