Gene,UniProt_ID,tissue_adipocyte,tissue_adipose_tissue,tissue_adrenal_gland,tissue_amniocyte,tissue_aqueous_humour,tissue_ascites,tissue_b_lymphocyte,tissue_blood_platelet,tissue_bone_marrow,tissue_bone_marrow_stromal_cell,tissue_brain,tissue_breast,tissue_breast_cancer_cell,tissue_cardia,tissue_carotid_atherosclerotic_plaque,tissue_cerebral_cortex,tissue_colon,tissue_colon_muscle,tissue_cytotoxic_t_lymphocyte,tissue_duodenum,tissue_embryonic_stem_cell,tissue_esophagus,tissue_gall_bladder,tissue_gut,tissue_hair_follicle,tissue_heart,tissue_kidney,tissue_liver,tissue_lung,tissue_lymph_node,tissue_mesenchymal_stem_cell,tissue_milk,tissue_monocyte,tissue_myometrium,tissue_nasopharynx,tissue_natural_killer_cell,tissue_oral_epithelium,tissue_osteosarcoma_cell,tissue_ovary,tissue_oviduct,tissue_pancreas,tissue_pancreatic_islet,tissue_placenta,tissue_prefrontal_cortex,tissue_prostate_gland,tissue_proximal_fluid_(coronary_sinus),tissue_rectum,tissue_retina,tissue_saliva,tissue_salivary_gland,tissue_seminal_vesicle,tissue_skin,tissue_small_intestine,tissue_smooth_muscle,tissue_spermatozoon,tissue_spinal_cord,tissue_spleen,tissue_stomach,tissue_testis,tissue_thyroid_gland,tissue_tonsil,tissue_ureter,tissue_urinary_bladder,tissue_urine,tissue_uterine_cervix,tissue_uterine_endometrium,tissue_uterus,tissue_vermiform_appendix,tissue_vitreous_humor,Avg_Vital_Expression,Avg_NonVital_Expression,Vital_NonVital_Ratio,tissue_helper_t_lymphocyte,tissue_bone,tissue_cerebrospinal_fluid,tissue_arachnoid_cyst,tissue_renal_cell_carcinoma_cell,tissue_cerumen,tissue_cervical_mucosa,tissue_synovia,tissue_synovial_fluid,tissue_blood
GPNMB,Q14956,4.152906326015898,3.7925804481670777,4.0554444804479175,6.009287746156566,4.871708546514812,4.324771177018179,0.0,0.0,0.0,5.637099914510334,2.625156173874247,5.570560103566818,5.35719208076341,0.0,4.911319443619316,4.372363826480216,5.077677260477793,4.4564383207715785,0.0,4.428569863598798,5.46804470081695,4.8938323143234435,4.60158875533161,0.0,6.675018762574954,5.157800176772071,4.10570129612401,4.769034023755622,5.166637966735119,4.557897163921249,4.059064739998364,4.118714171125416,0.0,4.890913368360223,0.0,0.0,4.865551618811669,4.647371726036566,4.766807743622726,3.98979874109913,5.155488584507482,0.0,5.2128905875916685,0.0,3.9207097878275485,4.532011345653086,4.766257618161442,0.0,0.0,4.2547565045119216,4.607874461886217,4.4514518006922685,4.80636919458252,4.42608862830906,0.0,0.0,3.871245992699515,4.098280017655131,5.1192475489917975,4.7730157204100605,5.085560046690116,0.0,5.200201902243324,3.3928257791137275,4.81474977365564,5.056896560900007,5.488407294507599,4.217070088374934,5.207159551765754,4.316531439127146,4.717716349094831,0.9149620536120916,,,,,,,,,,
FMN1,Q68DA7,0.0,2.521437392774974,2.596759622378796,0.0,0.0,0.0,3.341714561280816,0.0,0.0,0.0,3.517764993881152,0.0,2.472816491108888,0.0,0.0,0.0,4.528036685791234,0.0,0.0,4.021247280853133,0.0,2.9827419957332992,3.2445517232678602,0.0,0.0,3.1142335760972637,3.1238204646199206,0.0,3.5646133510722633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3772975029494186,0.0,3.4390564230031746,3.108124208109646,2.5310213829341537,3.338960466888169,0.0,3.5630229571358827,4.466803635590322,0.0,3.9436729539838105,0.0,0.0,3.760244791854948,0.0,0.0,0.0,2.580591999850955,4.432992333643001,2.2794820315733313,3.2126764637662575,0.0,0.0,2.3322325341789885,0.0,0.0,3.5999910845025065,0.0,4.959651776004242,0.0,3.3988706403502262,3.390357950551109,1.0025108528135602,,,,,,,,,,
TMEM117,Q9H0C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0126507938369116,0.0,0.0,3.5858508573392998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.165581964019454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.963154181301368,0.0,0.0,0.0,0.0,0.0,2.9909841030093256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5858508573392998,3.2830927605417646,1.0922173447050503,,,,,,,,,,
GPM6B,Q13491,0.0,0.0,4.557181933186507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.864752622138354,0.0,0.0,0.0,0.0,0.0,4.318713087725981,0.0,0.0,4.326852987262742,5.565246873807078,0.0,0.0,0.0,0.0,0.0,4.171591850384519,0.0,4.355329022898717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.369074517716096,0.0,0.0,0.0,6.911940851264867,4.1326553494073766,0.0,0.0,6.292573570839763,0.0,4.5303367533026195,4.939021078753052,0.0,0.0,0.0,0.0,6.105422895191861,4.119940961595127,4.074679070472738,0.0,3.8372073739610553,0.0,0.0,3.5645339587431515,0.0,0.0,3.2276468339509155,0.0,3.669401694084751,0.0,5.110040822518536,4.5952234245361225,1.1120331593091979,,,,,,,,,,
SGCD,Q92629,4.6811090313034365,4.521037778923778,5.566173513868203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.830005244217955,4.9473177502892085,4.503689265041833,4.700878168988356,5.536636655528578,0.0,4.707015761002848,5.608641960311255,0.0,5.15161863146925,4.848317074045039,5.3518099937275085,5.795392896559306,5.13835425387675,0.0,5.4760597841189265,4.11723556502386,4.251830683342707,4.720462738068434,4.806740287990653,0.0,0.0,0.0,5.467171895706144,4.551190303678061,0.0,4.130722265393406,0.0,5.207392253274513,4.954259830487446,5.037489632143816,0.0,4.206509063946218,4.59712559360653,5.190323053867152,5.126489323347892,5.037990806183695,4.275080924817471,0.0,4.7186348094429045,5.254277246136947,0.0,5.3624527086995375,6.020388544824103,0.0,4.261296472948043,4.470528623738794,4.96996814586377,5.1450412811527,4.9437931315855375,5.086976802953364,0.0,5.287816027233596,0.0,4.943124425176453,5.963647973472228,6.0587433784470734,4.638611752335232,0.0,5.008842588801772,4.980473762312618,1.0056960096253937,,,,,,,,,,
BNC2,Q6ZN30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7401815890885812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.789145908960566,0.0,0.0,0.0,0.0,4.429446164476969,3.60231510908455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.273151560045502,3.9383714630266597,0.0,0.0,0.0,0.0,3.745286181141778,0.0,0.0,0.0,0.0,0.0,0.0,4.941222134299292,0.0,0.0,5.285869169992097,0.0,4.082776586679555,0.0,,,,,,,,,,
ST3GAL6,Q9Y274,0.0,0.0,5.084156811415571,0.0,0.0,0.0,0.0,4.0684387694554385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3367020869556248,0.0,0.0,0.0,0.0,0.0,4.333301942603703,6.278158350507104,4.279439043872088,5.028319692352369,0.0,0.0,0.0,0.0,0.0,0.0,3.480969818350121,0.0,0.0,0.0,4.779371662387623,0.0,0.0,5.167594076218798,0.0,6.826047604332157,3.4442567534566835,0.0,0.0,0.0,5.867380767774428,0.0,0.0,0.0,0.0,0.0,0.0,3.8572432478254566,6.091336491971736,4.342791024077144,6.0748045583198795,0.0,0.0,0.0,2.7038515272425876,0.0,0.0,0.0,0.0,0.0,4.6808108174780365,4.667658912135153,1.0028176663270512,,,,,,,,,,
ERBB3,P21860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9406411877640206,0.0,3.970450113164077,0.0,0.0,0.0,4.520241001455386,0.0,0.0,3.959660233140122,3.104700908870316,0.0,4.074553366397707,0.0,0.0,0.0,3.551338117885468,3.708340019589752,3.074126994695044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39301126825418,3.328393104514247,3.7640740127583854,0.0,3.7075706554527983,0.0,3.6002298775676818,0.0,4.103377180552406,0.0,3.960512629021933,5.491482247503148,0.0,0.0,4.236019619383993,0.0,0.0,2.3633874943213584,0.0,4.351386255358545,4.224134951511554,0.0,2.9666916179817644,0.0,3.3780465469172514,0.0,0.0,0.0,0.0,2.8790550122117313,0.0,3.5073840912295324,3.7562116469915368,0.9337557147608289,,,,,,,,,,
FHIT,P49789,0.0,5.215339122083292,5.562610723998975,0.0,0.0,0.0,4.220479788445917,4.6851282323128896,5.767490680852225,0.0,5.438373499909946,0.0,4.5254954169915775,5.035551261600954,3.9455003991101365,0.0,4.741721879505144,0.0,4.166009050851557,5.287390924626044,0.0,4.579492959316349,4.62303428814012,5.5446428260368235,0.0,4.891627500493373,5.553033005745977,4.708293697649864,4.391915640417362,5.241744190148363,0.0,4.446694003628792,4.93260614177016,4.405853513204072,0.0,0.0,4.911505238610998,0.0,5.14618364637391,5.3253741566713835,5.021962536179871,4.944848299066922,3.9426608781509684,4.99166111538639,4.917770618319711,0.0,4.7310376602062085,5.231611969463309,0.0,5.819708946988757,0.0,5.6355179771689565,5.1327782816880365,4.912836763781588,4.74603657581028,4.966375235864543,5.123044246596839,4.880467000033905,5.370346695999772,5.169304015223851,4.2367831421332856,5.104154072746179,4.823665361196453,0.0,0.0,4.884620024781445,0.0,4.587418156888855,0.0,4.9073055469402265,4.927684104918926,0.9958644755741632,,,,,,,,,,
PMEL,P40967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.124088195865169,0.0,0.0,0.0,4.872557860981441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5491870772731655,0.0,0.0,0.0,0.0,0.0,0.0,4.726974592787442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.470732643696551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.348708074120753,0.0,,,,,,,,,,
