,Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nTPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nTPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific FPKM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cuteneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA),HPA_Score,UniProt_Score,Final_Score
2572,CD37,TSPAN26,ENSG00000104894,CD37 molecule,P11049,19,49335171-49343335,"CD markers, Predicted intracellular proteins, Predicted membrane proteins",,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,bone marrow: 153.6;intestine: 113.2;lymphoid tissue: 230.0,Cell type enhanced,Detected in many,,B-cells: 1676.3;dendritic cells: 531.6;granulocytes: 571.4;Hofbauer cells: 478.9;Langerhans cells: 410.3;monocytes: 820.9;NK-cells: 377.0;T-cells: 380.7,Group enriched,Detected in some,34.0,central nervous system macrophage: 120.8;leukocyte: 131.2,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Group enriched,Detected in some,5.0,Leukemia: 77.0;lymphoma: 248.0,"Adrenal gland - Macrophages, Breast - T-cells, Prostate - T-cells, Skeletal muscle - Macrophages, Skin - T-cells, Spleen - B-cells (Spleen), Testis - Late spermatids, Thyroid gland - T-cells",Low region specificity,Detected in all,,,Low region specificity,Detected in many,,,"CAB002492, HPA032120, HPA032121",Enhanced,,Approved,"Golgi apparatus,Plasma membrane",,,,,,,Cluster 7: Non-specific - Innate immune response,Cluster 70: Lymphoid tissue - Immune response,Cluster 20: Macrophages & Microglia - Immune response,Cluster 55: Lymphoma - Immune response,Cluster 73: B-cells - B-cell function,8.0,Golgi apparatus,Plasma membrane,"CAB002492: AB_563554, HPA032120: AB_2674162, HPA032121: AB_2674163",unprognostic (8.69e-2),unprognostic (8.99e-3),unprognostic (2.21e-2),unprognostic (2.38e-2),unprognostic (3.94e-2),unprognostic (1.38e-1),unprognostic (1.40e-2),unprognostic (2.56e-1),unprognostic (1.77e-2),unprognostic (3.70e-1),unprognostic (2.45e-1),unprognostic (1.78e-1),unprognostic (9.90e-2),unprognostic (1.05e-1),unprognostic (2.42e-2),unprognostic (3.37e-3),unprognostic (6.43e-2),unprognostic (3.62e-2),unprognostic (1.01e-1),unprognostic (1.45e-1),unprognostic (4.39e-1),unprognostic (6.96e-2),unprognostic (2.24e-1),unprognostic (1.42e-1),unprognostic (7.16e-2),unprognostic (8.08e-2),unprognostic (6.61e-4),unprognostic (9.56e-2),unprognostic (1.26e-2),unprognostic (2.52e-2),unprognostic (4.46e-2),2,2,10
8456,ITGB4,CD104,ENSG00000132470,Integrin subunit beta 4,P16144,17,75721328-75757818,"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Cell adhesion,"Integrin, Receptor","Cancer-related genes, Disease variant, Epidermolysis bullosa",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,salivary gland: 194.7;skin 1: 199.3,Cell type enhanced,Detected in many,,Basal respiratory cells: 161.2;Gastric mucus-secreting cells: 164.5;Mucus glandular cells: 163.8;Salivary duct cells: 287.3;Schwann cells: 164.5,Group enriched,Detected in many,5.0,astrocyte: 182.1;bergmann glia: 78.1;ependymal cell: 126.6,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in some,,plasmacytoid DC: 4.6,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Schwann cells, Minor Salivary Gland - Minor salivary glandular cells, Prostate - Prostate basal glandular cells, Spleen - Endothelial cells",Low region specificity,Detected in all,,,Region enhanced,Detected in all,,spinal cord: 49.5,"CAB002422, CAB005258, HPA036348, HPA036349",Enhanced,,Supported,"Plasma membrane,Cell Junctions",,,,,,23000000.0,Cluster 30: Non-specific - DNA binding,Cluster 48: Stomach - Proteolysis,Cluster 39: Astrocytes - Mixed function,Cluster 53: Squamous epithelial cells - Keratinization,Cluster 45: Non-specific - Mixed function,14.0,"Plasma membrane, Cell Junctions",,"CAB002422: AB_563480, CAB005258: AB_2129021, HPA036348: AB_2675077, HPA036349: AB_2675078",unprognostic (6.07e-2),unprognostic (3.33e-3),unprognostic (2.19e-2),unprognostic (8.47e-2),unprognostic (2.72e-1),unprognostic (2.22e-1),unprognostic (3.88e-3),unprognostic (2.98e-2),unprognostic (1.82e-2),unprognostic (1.44e-1),unprognostic (9.83e-6),unprognostic (1.87e-1),unprognostic (3.49e-2),unprognostic (4.39e-3),unprognostic (1.09e-1),unprognostic (9.99e-6),unprognostic (3.00e-1),unprognostic (3.67e-1),unprognostic (1.34e-1),unprognostic (1.32e-1),unprognostic (8.21e-3),unprognostic (1.44e-2),unprognostic (2.66e-1),unprognostic (3.41e-2),unprognostic (1.20e-1),unprognostic (4.78e-2),unprognostic (4.87e-2),unprognostic (5.04e-2),unprognostic (8.45e-2),unprognostic (5.19e-2),unprognostic (1.76e-1),2,2,10
17828,TNFSF13B,"BAFF, BLYS, CD257, TALL-1, TALL1, THANK, TNFSF20",ENSG00000102524,TNF superfamily member 13b,Q9Y275,13,108251240-108308484,"Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Immunity,Cytokine,"Cancer-related genes, FDA approved drug targets",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,bone marrow: 19.8;lymphoid tissue: 25.2,Cell type enhanced,Detected in many,,Hofbauer cells: 167.6;Kupffer cells: 106.6;Langerhans cells: 300.8;Macrophages: 143.4;monocytes: 542.0,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in all,,neutrophil: 509.3,Group enriched,Detected in all,11.0,dendritic cells: 207.0;granulocytes: 509.3;monocytes: 352.4,Cancer enriched,Detected in some,10.0,Leukemia: 21.6,,Low region specificity,Detected in many,,,Low region specificity,Detected in many,,,"CAB009188, HPA030526",Enhanced,,Supported,"Vesicles,Plasma membrane,Focal adhesion sites",Secreted to blood,Cytokine,,,393000.0,640000.0,Cluster 38: Monocytes & Neutrophils - Degranulation,Cluster 70: Lymphoid tissue - Immune response,Cluster 8: Immune cells - Immune response,Cluster 14: Myeloid leukemia - Innate immune response,Cluster 29: Monocytes - Innate immune response,26.0,Plasma membrane,"Vesicles, Focal adhesion sites","CAB009188: , HPA030526: ",unprognostic (9.67e-3),unprognostic (1.63e-1),unprognostic (1.08e-1),unprognostic (9.44e-2),unprognostic (1.22e-1),unprognostic (1.22e-1),unprognostic (1.53e-2),unprognostic (1.19e-1),unprognostic (1.46e-1),unprognostic (5.72e-2),unprognostic (1.10e-4),unprognostic (1.28e-1),unprognostic (2.12e-2),unprognostic (8.53e-2),unprognostic (1.17e-2),unprognostic (7.61e-2),unprognostic (1.04e-1),unprognostic (1.01e-2),unprognostic (1.97e-1),unprognostic (8.67e-2),unprognostic (1.56e-1),unprognostic (4.58e-2),unprognostic (5.62e-2),unprognostic (1.54e-1),unprognostic (1.08e-1),unprognostic (8.53e-2),unprognostic (1.77e-1),unprognostic (1.12e-1),unprognostic (2.74e-2),unprognostic (3.68e-1),unprognostic (1.65e-2),2,2,10
6128,FLOT1,,ENSG00000137312,Flotillin 1,O75955,6,30727709-30742732,"Plasma proteins, Predicted intracellular proteins, Transporters",,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Oocytes: 351.4,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in all,,neutrophil: 314.7,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Skin - Endothelial cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA001393, CAB007766",Enhanced,,Uncertain,"Golgi apparatus,Vesicles,Plasma membrane",,,,,,79000.0,Cluster 35: Neutrophils - Protein binding,Cluster 43: Non-specific - Mitochondrial translation,Cluster 23: Choroid plexus - Mixed function,Cluster 71: Lymphoma - Inflammatory response,Cluster 41: Adipocytes & Endothelial cells - Mixed function,53.0,Golgi apparatus,"Vesicles, Plasma membrane","CAB007766: AB_562116, HPA001393: AB_1078892",unprognostic (1.43e-1),unprognostic (4.61e-2),unprognostic (9.26e-3),unprognostic (3.48e-3),unprognostic (1.84e-1),unprognostic (1.66e-2),unprognostic (9.47e-2),unprognostic (1.43e-1),unprognostic (4.02e-2),unprognostic (1.42e-1),unprognostic (1.83e-4),unprognostic (3.73e-1),unprognostic (9.96e-2),unprognostic (1.66e-3),unprognostic (1.28e-3),unprognostic (2.41e-2),unprognostic (1.31e-1),unprognostic (1.40e-3),unprognostic (4.50e-2),unprognostic (7.16e-2),unprognostic (1.49e-1),unprognostic (7.99e-2),unprognostic (5.25e-2),unprognostic (4.52e-1),unprognostic (2.69e-2),unprognostic (9.31e-2),unprognostic (1.03e-1),unprognostic (2.92e-1),unprognostic (1.43e-1),unprognostic (3.24e-1),unprognostic (2.36e-1),2,2,10
6129,FLOT2,"ECS-1, ECS1, ESA, ESA1, M17S1",ENSG00000132589,Flotillin 2,Q14254,17,28879335-28897733,"Plasma proteins, Predicted intracellular proteins",Cell adhesion,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Spleen - Neutrophils,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA001396, CAB004395, HPA071038",Supported,,Supported,"Vesicles,Plasma membrane",,,,,,120000.0,Cluster 21: Neutrophils - Unknown function,Cluster 70: Lymphoid tissue - Immune response,Cluster 24: Neurons - Mixed function,Cluster 71: Lymphoma - Inflammatory response,Cluster 74: Neutrophils - Degranulation,37.0,Plasma membrane,Vesicles,"CAB004395: AB_627618, HPA001396: AB_1078894, HPA071038: ",unprognostic (2.24e-1),unprognostic (1.47e-1),unprognostic (2.23e-1),unprognostic (1.13e-3),unprognostic (8.32e-2),unprognostic (1.11e-2),unprognostic (2.25e-2),unprognostic (1.46e-1),unprognostic (2.20e-2),unprognostic (2.78e-1),unprognostic (1.91e-7),unprognostic (1.96e-1),unprognostic (3.02e-1),unprognostic (3.44e-3),unprognostic (3.38e-5),unprognostic (2.61e-1),unprognostic (1.08e-1),unprognostic (9.83e-2),unprognostic (2.23e-1),unprognostic (3.57e-2),unprognostic (7.07e-3),unprognostic (4.96e-2),unprognostic (5.31e-2),unprognostic (6.22e-2),unprognostic (1.16e-2),unprognostic (1.01e-1),unprognostic (2.93e-1),unprognostic (8.46e-2),unprognostic (2.00e-1),unprognostic (3.09e-1),unprognostic (1.14e-1),2,2,10
8487,ITSN1,"ITSN, MGC134948, MGC134949, SH3D1A, SH3P17",ENSG00000205726,Intersectin 1,Q15811,21,33642400-33899861,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Endocytosis, Exocytosis, Host-virus interaction, Protein transport, Transport",,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Astrocytes: 206.2;Inhibitory neurons: 145.8;Rod photoreceptor cells: 134.8,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in some,,eosinophil: 5.5;non-classical monocyte: 5.1,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Breast - Adipocytes (Breast)",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA018007,Approved,,Supported,Plasma membrane,,,,,,,Cluster 25: Non-specific - Unknown function,Cluster 62: Connective tissue - ECM organization,Cluster 23: Choroid plexus - Mixed function,Cluster 72: Neuronal - Signal transduction,Cluster 58: Macrophages - Innate immune response,67.0,Plasma membrane,,HPA018007: AB_1851836,unprognostic (2.48e-1),unprognostic (7.87e-2),unprognostic (1.13e-3),unprognostic (1.05e-1),unprognostic (1.10e-1),unprognostic (4.10e-2),unprognostic (1.55e-1),unprognostic (1.56e-1),unprognostic (4.32e-2),unprognostic (3.38e-2),unprognostic (1.93e-2),unprognostic (3.00e-2),unprognostic (3.41e-2),unprognostic (4.70e-2),unprognostic (2.25e-2),unprognostic (5.42e-3),unprognostic (1.36e-2),unprognostic (5.34e-2),unprognostic (1.52e-1),unprognostic (1.26e-2),unprognostic (1.31e-1),unprognostic (6.29e-2),unprognostic (1.47e-1),unprognostic (2.69e-2),unprognostic (8.27e-2),unprognostic (9.62e-3),unprognostic (1.06e-1),unprognostic (1.71e-2),unprognostic (2.18e-1),unprognostic (1.73e-3),unprognostic (1.51e-1),2,2,10
17840,TNK2,"ACK, ACK1, p21cdc42Hs",ENSG00000061938,Tyrosine kinase non receptor 2,Q07912,3,195863364-195911945,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins",Endocytosis,"Kinase, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase",Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Horizontal cells: 65.5;Oligodendrocyte precursor cells: 230.2,Cell type enhanced,Detected in all,,committed oligodendrocyte precursor: 301.5;oligodendrocyte precursor cell: 409.0,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA041954, HPA069561",Approved,,Supported,"Vesicles,Plasma membrane",,,,,,,Cluster 20: Non-specific - DNA binding,Cluster 80: Non-specific - Endocytosis,Cluster 32: Cerebral cortex - Mixed function,Cluster 53: Squamous epithelial cells - Keratinization,Cluster 76: Oligodendrocyte precursor - Unknown function,56.0,Plasma membrane,Vesicles,"HPA041954: AB_10794164, HPA069561: ",unprognostic (2.00e-1),unprognostic (5.65e-2),unprognostic (1.27e-1),unprognostic (7.90e-2),unprognostic (8.07e-4),unprognostic (3.80e-2),unprognostic (1.22e-1),unprognostic (4.77e-4),unprognostic (1.86e-1),unprognostic (2.81e-1),unprognostic (3.30e-2),unprognostic (1.33e-1),unprognostic (1.32e-1),unprognostic (1.75e-1),unprognostic (7.97e-2),unprognostic (2.70e-1),unprognostic (6.51e-3),unprognostic (1.69e-1),unprognostic (3.15e-2),unprognostic (5.75e-2),unprognostic (7.18e-2),unprognostic (1.03e-3),unprognostic (1.40e-1),unprognostic (7.11e-2),unprognostic (2.52e-1),unprognostic (1.86e-1),unprognostic (6.00e-2),unprognostic (1.51e-1),unprognostic (1.75e-1),unprognostic (1.31e-1),unprognostic (1.96e-1),2,2,10
8460,ITGB8,,ENSG00000105855,Integrin subunit beta 8,P26012,7,20330702-20415754,"Cancer-related genes, Predicted membrane proteins",Cell adhesion,"Integrin, Receptor",Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,Glandular and luminal cells: 447.7;Mucus glandular cells: 214.7;Oligodendrocyte precursor cells: 180.2;Salivary duct cells: 181.5;Schwann cells: 412.6,Cell type enhanced,Detected in many,,choroid plexus epithelial cell: 459.9;ependymal cell: 428.3,Cancer enhanced,Detected in many,,Kidney Renal Papillary Cell Carcinoma (TCGA): 89.7,Low region specificity,Detected in all,,,Immune cell enriched,Detected in single,134.0,basophil: 16.4,Lineage enriched,Detected in single,134.0,granulocytes: 16.4,Low cancer specificity,Detected in many,,,"Colon - Enteric glia cells, Liver - Cholangiocyte, Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Undifferentiated cells (Pituitary gland)",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA027796, HPA027797",Enhanced,,Approved,"Plasma membrane,Cytosol",,,,,,,Cluster 46: Basophils - Proteolysis,Cluster 32: Endocrine & Neural - Unknown function,Cluster 39: Astrocytes - Mixed function,Cluster 15: Kidney cancer - Membrane components,Cluster 37: Glandular & Luminal cells - Unknown function,6.0,"Plasma membrane, Cytosol",,"HPA027796: AB_10600299, HPA027797: AB_10600879",unprognostic (7.34e-2),unprognostic (3.25e-2),unprognostic (3.12e-1),unprognostic (2.72e-1),unprognostic (4.80e-2),unprognostic (1.39e-2),unprognostic (1.59e-1),unprognostic (7.27e-5),unprognostic (1.63e-1),unprognostic (2.43e-1),unprognostic (4.09e-6),unprognostic (3.62e-2),unprognostic (2.21e-3),,unprognostic (6.78e-2),unprognostic (1.91e-2),unprognostic (3.12e-3),unprognostic (4.90e-3),unprognostic (3.98e-1),unprognostic (2.88e-3),unprognostic (4.15e-3),unprognostic (7.35e-3),unprognostic (1.08e-1),unprognostic (6.97e-2),unprognostic (1.56e-1),unprognostic (9.31e-2),unprognostic (2.23e-2),unprognostic (2.36e-1),unprognostic (1.08e-1),unprognostic (7.03e-2),unprognostic (1.55e-2),2,2,10
8457,ITGB5,,ENSG00000082781,Integrin subunit beta 5,P18084,3,124761948-124901418,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Cell adhesion, Host-virus interaction","Host cell receptor for virus entry, Integrin, Receptor",Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Cell type enhanced,Detected in many,,bergmann glia: 188.5;central nervous system macrophage: 201.5,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA001820, CAB022050",Approved,,Approved,"Plasma membrane,Mitochondria",,,,,,110000.0,Cluster 37: Monocytes & Neutrophils - Innate immune response,Cluster 7: Adipose tissue - Mixed function,Cluster 42: Choroid plexus - Mitochondria,Cluster 64: Connective tissue cells - ECM organization,Cluster 53: Fibroblasts - ECM organization,35.0,"Plasma membrane, Mitochondria",,"CAB022050: , HPA001820: AB_1079142",unprognostic (2.75e-1),unprognostic (2.52e-1),unprognostic (7.11e-2),unprognostic (2.24e-4),unprognostic (4.00e-1),unprognostic (3.22e-3),unprognostic (5.89e-3),unprognostic (4.70e-4),unprognostic (1.61e-1),unprognostic (8.73e-4),unprognostic (3.14e-6),unprognostic (9.30e-2),unprognostic (6.81e-2),unprognostic (1.35e-3),unprognostic (1.33e-3),unprognostic (5.48e-3),unprognostic (2.94e-3),unprognostic (1.45e-2),unprognostic (1.24e-1),unprognostic (1.15e-2),unprognostic (1.28e-3),unprognostic (3.30e-3),unprognostic (7.53e-3),unprognostic (4.91e-2),unprognostic (1.20e-1),unprognostic (1.00e-1),unprognostic (1.38e-1),unprognostic (8.58e-2),unprognostic (1.41e-1),unprognostic (4.29e-2),unprognostic (3.16e-1),2,2,10
6147,FMNL3,"DKFZp762B245, MGC45819, WBP3",ENSG00000161791,Formin like 3,Q8IVF7,12,49636499-49708165,Predicted intracellular proteins,Angiogenesis,Developmental protein,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,dendritic cells: 72.6;granulocytes: 44.8;Microglial cells: 113.6,Group enriched,Detected in all,5.0,central nervous system macrophage: 695.8;endothelial cell: 316.3,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in some,,plasmacytoid DC: 5.1,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Colon - Enteric glia cells, Liver - Vascular Endothelial cells, Testis - Sertoli cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA002552, HPA023201",Uncertain,,Supported,"Golgi apparatus,Vesicles,Plasma membrane,Cytosol",,,,,,,Cluster 12: Non-specific - Mitochondrial translation,Cluster 70: Lymphoid tissue - Immune response,Cluster 20: Macrophages & Microglia - Immune response,Cluster 55: Lymphoma - Immune response,Cluster 58: Macrophages - Innate immune response,1.0,"Golgi apparatus, Vesicles, Plasma membrane",Cytosol,"HPA002552: AB_1078862, HPA023201: AB_1848575",unprognostic (1.24e-1),unprognostic (1.31e-1),unprognostic (3.44e-1),unprognostic (2.67e-1),unprognostic (5.06e-2),unprognostic (3.01e-2),unprognostic (1.47e-1),unprognostic (7.53e-2),unprognostic (8.31e-3),unprognostic (1.65e-2),unprognostic (1.28e-4),unprognostic (3.14e-4),unprognostic (1.34e-1),unprognostic (1.86e-2),unprognostic (1.69e-2),unprognostic (3.79e-3),unprognostic (7.30e-3),unprognostic (2.01e-1),unprognostic (3.17e-1),unprognostic (1.04e-2),unprognostic (1.07e-2),unprognostic (2.64e-1),unprognostic (1.21e-1),unprognostic (2.05e-1),unprognostic (4.42e-1),unprognostic (7.25e-4),unprognostic (2.80e-1),unprognostic (6.47e-2),unprognostic (9.32e-2),unprognostic (3.90e-1),unprognostic (1.38e-1),2,2,10
